Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-15,Western Australia,Female,Mining,1947.5
Aug-15,Western Australia,Female,Manufacturing,804.1
Aug-15,Western Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,Western Australia,Female,Construction,901.3
Aug-15,Western Australia,Female,Wholesale Trade,1150.2
Aug-15,Western Australia,Female,Retail Trade,542.5
Aug-15,Western Australia,Female,Accommodation and Food Services,506.9
Aug-15,Western Australia,Female,"Transport, Postal and Warehousing",963.5
Aug-15,Western Australia,Female,Information Media and Telecommunications,0
Aug-15,Western Australia,Female,Financial and Insurance Services,845.8
Aug-15,Western Australia,Female,"Rental, Hiring and Real Estate Services",920
Aug-15,Western Australia,Female,"Professional, Scientific and Technical Services",1200
Aug-15,Western Australia,Female,Administrative and Support Services,837.1
Aug-15,Western Australia,Female,Public Administration and Safety,1210.9
Aug-15,Western Australia,Female,Education and Training,950
Aug-15,Western Australia,Female,Health Care and Social Assistance,900
Aug-15,Western Australia,Female,Arts and Recreation Services,0
Aug-15,Western Australia,Female,Other Services,739
Aug-15,Tasmania,Male,"Agriculture, Forestry and Fishing",883.3
Aug-15,Tasmania,Male,Mining,0
Aug-15,Tasmania,Male,Manufacturing,1239.5
Aug-15,Tasmania,Male,"Electricity, Gas, Water and Waste Services",1500
Aug-15,Tasmania,Male,Construction,1087.4
Aug-15,Tasmania,Male,Wholesale Trade,958.2
Aug-15,Tasmania,Male,Retail Trade,729.5
Aug-15,Tasmania,Male,Accommodation and Food Services,464
Aug-15,Tasmania,Male,"Transport, Postal and Warehousing",937.3
Aug-15,Tasmania,Male,Information Media and Telecommunications,0
Aug-15,Tasmania,Male,Financial and Insurance Services,0
Aug-15,Tasmania,Male,"Rental, Hiring and Real Estate Services",0
Aug-15,Tasmania,Male,"Professional, Scientific and Technical Services",1528.7
Aug-15,Tasmania,Male,Administrative and Support Services,0
Aug-15,Tasmania,Male,Public Administration and Safety,1250.6
Aug-15,Tasmania,Male,Education and Training,1225
Aug-15,Tasmania,Male,Health Care and Social Assistance,1033.7
Aug-15,Tasmania,Male,Arts and Recreation Services,727.6
Aug-15,Tasmania,Male,Other Services,800
Aug-15,Tasmania,Female,"Agriculture, Forestry and Fishing",0
Aug-15,Tasmania,Female,Mining,0
Aug-15,Tasmania,Female,Manufacturing,828.8
Aug-15,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,Tasmania,Female,Construction,0
Aug-15,Tasmania,Female,Wholesale Trade,0
Aug-15,Tasmania,Female,Retail Trade,549.1
Aug-15,Tasmania,Female,Accommodation and Food Services,400
Aug-15,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-15,Tasmania,Female,Information Media and Telecommunications,0
Aug-15,Tasmania,Female,Financial and Insurance Services,0
Aug-15,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-15,Tasmania,Female,"Professional, Scientific and Technical Services",711.5
Aug-15,Tasmania,Female,Administrative and Support Services,0
Aug-15,Tasmania,Female,Public Administration and Safety,1088.7
Aug-15,Tasmania,Female,Education and Training,920.7
Aug-15,Tasmania,Female,Health Care and Social Assistance,874.7
Aug-15,Tasmania,Female,Arts and Recreation Services,0
Aug-15,Tasmania,Female,Other Services,0
Aug-15,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-15,Northern Territory,Male,Mining,2023
Aug-15,Northern Territory,Male,Manufacturing,1248.6
Aug-15,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-15,Northern Territory,Male,Construction,1511.3
Aug-15,Northern Territory,Male,Wholesale Trade,0
Aug-15,Northern Territory,Male,Retail Trade,810.6
Aug-15,Northern Territory,Male,Accommodation and Food Services,1207
Aug-15,Northern Territory,Male,"Transport, Postal and Warehousing",1009
Aug-15,Northern Territory,Male,Information Media and Telecommunications,0
Aug-15,Northern Territory,Male,Financial and Insurance Services,0
Aug-15,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-15,Northern Territory,Male,"Professional, Scientific and Technical Services",1527.5
Aug-15,Northern Territory,Male,Administrative and Support Services,0
Aug-15,Northern Territory,Male,Public Administration and Safety,1463.1
Aug-15,Northern Territory,Male,Education and Training,1443.3
Aug-15,Northern Territory,Male,Health Care and Social Assistance,1000
Aug-15,Northern Territory,Male,Arts and Recreation Services,0
Aug-15,Northern Territory,Male,Other Services,1000
Aug-15,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-15,Northern Territory,Female,Mining,0
Aug-15,Northern Territory,Female,Manufacturing,0
Aug-15,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,Northern Territory,Female,Construction,0
Aug-15,Northern Territory,Female,Wholesale Trade,0
Aug-15,Northern Territory,Female,Retail Trade,582.5
Aug-15,Northern Territory,Female,Accommodation and Food Services,810
Aug-15,Northern Territory,Female,"Transport, Postal and Warehousing",857.3
Aug-15,Northern Territory,Female,Information Media and Telecommunications,0
Aug-15,Northern Territory,Female,Financial and Insurance Services,0
Aug-15,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-15,Northern Territory,Female,"Professional, Scientific and Technical Services",0
Aug-15,Northern Territory,Female,Administrative and Support Services,0
Aug-15,Northern Territory,Female,Public Administration and Safety,1354.3
Aug-15,Northern Territory,Female,Education and Training,1200
Aug-15,Northern Territory,Female,Health Care and Social Assistance,1100
Aug-15,Northern Territory,Female,Arts and Recreation Services,0
Aug-15,Northern Territory,Female,Other Services,0
Aug-15,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-15,Australian Capital Territory,Male,Mining,0
Aug-15,Australian Capital Territory,Male,Manufacturing,0
Aug-15,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-15,Australian Capital Territory,Male,Construction,1199.6
Aug-15,Australian Capital Territory,Male,Wholesale Trade,0
Aug-15,Australian Capital Territory,Male,Retail Trade,707.3
Aug-15,Australian Capital Territory,Male,Accommodation and Food Services,567.4
Aug-15,Australian Capital Territory,Male,"Transport, Postal and Warehousing",0
Aug-15,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-15,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-15,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-15,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",1694.8
Aug-15,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-15,Australian Capital Territory,Male,Public Administration and Safety,1692.6
Aug-15,Australian Capital Territory,Male,Education and Training,1702.7
Aug-15,Australian Capital Territory,Male,Health Care and Social Assistance,1365.4
Aug-15,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-15,Australian Capital Territory,Male,Other Services,0
Aug-15,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-15,Australian Capital Territory,Female,Mining,0
Aug-15,Australian Capital Territory,Female,Manufacturing,0
Aug-15,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-15,Australian Capital Territory,Female,Construction,0
Aug-15,Australian Capital Territory,Female,Wholesale Trade,0
Aug-15,Australian Capital Territory,Female,Retail Trade,450
Aug-15,Australian Capital Territory,Female,Accommodation and Food Services,400
Aug-15,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-15,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-15,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-15,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-15,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1751.4
Aug-15,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-15,Australian Capital Territory,Female,Public Administration and Safety,1500
Aug-15,Australian Capital Territory,Female,Education and Training,1138.8
Aug-15,Australian Capital Territory,Female,Health Care and Social Assistance,900
Aug-15,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-15,Australian Capital Territory,Female,Other Services,0
Aug-16,New South Wales,Male,"Agriculture, Forestry and Fishing",796.2
Aug-16,New South Wales,Male,Mining,1799.7
Aug-16,New South Wales,Male,Manufacturing,1200
Aug-16,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1500
Aug-16,New South Wales,Male,Construction,1150
Aug-16,New South Wales,Male,Wholesale Trade,1200
Aug-16,New South Wales,Male,Retail Trade,800
Aug-16,New South Wales,Male,Accommodation and Food Services,638.3
Aug-16,New South Wales,Male,"Transport, Postal and Warehousing",1239.7
Aug-16,New South Wales,Male,Information Media and Telecommunications,1385.8
Aug-16,New South Wales,Male,Financial and Insurance Services,1735.3
Aug-16,New South Wales,Male,"Rental, Hiring and Real Estate Services",1584.1
Aug-16,New South Wales,Male,"Professional, Scientific and Technical Services",1535.5
Aug-16,New South Wales,Male,Administrative and Support Services,1033.4
Aug-16,New South Wales,Male,Public Administration and Safety,1475.2
Aug-16,New South Wales,Male,Education and Training,1334.7
Aug-16,New South Wales,Male,Health Care and Social Assistance,1051.7
Aug-16,New South Wales,Male,Arts and Recreation Services,740.2
Aug-16,New South Wales,Male,Other Services,1100
Aug-16,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-16,New South Wales,Female,Mining,0
Aug-16,New South Wales,Female,Manufacturing,931.5
Aug-16,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,New South Wales,Female,Construction,900
Aug-16,New South Wales,Female,Wholesale Trade,950.7
Aug-16,New South Wales,Female,Retail Trade,556.3
Aug-16,New South Wales,Female,Accommodation and Food Services,450
Aug-16,New South Wales,Female,"Transport, Postal and Warehousing",920.8
Aug-16,New South Wales,Female,Information Media and Telecommunications,1261
Aug-16,New South Wales,Female,Financial and Insurance Services,1208.5
Aug-16,New South Wales,Female,"Rental, Hiring and Real Estate Services",775.1
Aug-16,New South Wales,Female,"Professional, Scientific and Technical Services",1099.4
Aug-16,New South Wales,Female,Administrative and Support Services,800
Aug-16,New South Wales,Female,Public Administration and Safety,1150.1
Aug-16,New South Wales,Female,Education and Training,1050
Aug-16,New South Wales,Female,Health Care and Social Assistance,899.5
Aug-16,New South Wales,Female,Arts and Recreation Services,703.6
Aug-16,New South Wales,Female,Other Services,670.9
Aug-16,Victoria,Male,"Agriculture, Forestry and Fishing",1242
Aug-16,Victoria,Male,Mining,0
Aug-16,Victoria,Male,Manufacturing,1150
Aug-16,Victoria,Male,"Electricity, Gas, Water and Waste Services",1696.6
Aug-16,Victoria,Male,Construction,1200
Aug-16,Victoria,Male,Wholesale Trade,1152.8
Aug-16,Victoria,Male,Retail Trade,850
Aug-16,Victoria,Male,Accommodation and Food Services,631.1
Aug-16,Victoria,Male,"Transport, Postal and Warehousing",1200
Aug-16,Victoria,Male,Information Media and Telecommunications,2020.5
Aug-16,Victoria,Male,Financial and Insurance Services,1740.6
Aug-16,Victoria,Male,"Rental, Hiring and Real Estate Services",1290.1
Aug-16,Victoria,Male,"Professional, Scientific and Technical Services",1500
Aug-16,Victoria,Male,Administrative and Support Services,1000
Aug-16,Victoria,Male,Public Administration and Safety,1500
Aug-16,Victoria,Male,Education and Training,1250
Aug-16,Victoria,Male,Health Care and Social Assistance,1200
Aug-16,Victoria,Male,Arts and Recreation Services,1045.5
Aug-16,Victoria,Male,Other Services,974
Aug-16,Victoria,Female,"Agriculture, Forestry and Fishing",756
Aug-16,Victoria,Female,Mining,0
Aug-16,Victoria,Female,Manufacturing,818.7
Aug-16,Victoria,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,Victoria,Female,Construction,589.3
Aug-16,Victoria,Female,Wholesale Trade,768.2
Aug-16,Victoria,Female,Retail Trade,549.3
Aug-16,Victoria,Female,Accommodation and Food Services,359.9
Aug-16,Victoria,Female,"Transport, Postal and Warehousing",860.3
Aug-16,Victoria,Female,Information Media and Telecommunications,915.5
Aug-16,Victoria,Female,Financial and Insurance Services,1075.1
Aug-16,Victoria,Female,"Rental, Hiring and Real Estate Services",813.4
Aug-16,Victoria,Female,"Professional, Scientific and Technical Services",960.5
Aug-16,Victoria,Female,Administrative and Support Services,1000
Aug-16,Victoria,Female,Public Administration and Safety,1152.7
Aug-16,Victoria,Female,Education and Training,1000
Aug-16,Victoria,Female,Health Care and Social Assistance,880
Aug-16,Victoria,Female,Arts and Recreation Services,480
Aug-16,Victoria,Female,Other Services,613.9
Aug-16,Queensland,Male,"Agriculture, Forestry and Fishing",949.4
Aug-16,Queensland,Male,Mining,2097.4
Aug-16,Queensland,Male,Manufacturing,1100
Aug-16,Queensland,Male,"Electricity, Gas, Water and Waste Services",1465.2
Aug-16,Queensland,Male,Construction,1200
Aug-16,Queensland,Male,Wholesale Trade,1137.2
Aug-16,Queensland,Male,Retail Trade,870.7
Aug-16,Queensland,Male,Accommodation and Food Services,669.2
Aug-16,Queensland,Male,"Transport, Postal and Warehousing",1204.3
Aug-16,Queensland,Male,Information Media and Telecommunications,1200
Aug-16,Queensland,Male,Financial and Insurance Services,1591.8
Aug-16,Queensland,Male,"Rental, Hiring and Real Estate Services",1500
Aug-16,Queensland,Male,"Professional, Scientific and Technical Services",1322.5
Aug-16,Queensland,Male,Administrative and Support Services,1068.4
Aug-16,Queensland,Male,Public Administration and Safety,1353.5
Aug-16,Queensland,Male,Education and Training,1250
Aug-16,Queensland,Male,Health Care and Social Assistance,1388.1
Aug-16,Queensland,Male,Arts and Recreation Services,921.7
Aug-16,Queensland,Male,Other Services,1112.9
Aug-16,Queensland,Female,"Agriculture, Forestry and Fishing",0
Aug-16,Queensland,Female,Mining,0
Aug-16,Queensland,Female,Manufacturing,800
Aug-16,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-16,Queensland,Female,Construction,830.7
Aug-16,Queensland,Female,Wholesale Trade,882.2
Aug-16,Queensland,Female,Retail Trade,600
Aug-16,Queensland,Female,Accommodation and Food Services,539.2
Aug-16,Queensland,Female,"Transport, Postal and Warehousing",1117.9
